N;Kernel;Method;Setting;Time;MEM;Iterations;AUC
256000;MLPK;RLScore;Setting 2;1605.3688098929997;0.158016564;264;0.6366970915141228
256000;MLPK;RLScore;Setting 3;980.9494766329881;0.158016564;162;0.6488957142242269
256000;MLPK;RLScore;Setting 4;258.1239148910099;0.15801654;43;0.6158015411916745
512000;Linear;RLScore;Setting 1;208.83415839402005;0.118956572;56;0.6858703519760221
512000;Linear;RLScore;Setting 2;117.97512410601485;0.118955644;31;0.6626008072631143
512000;Linear;RLScore;Setting 3;111.66706553800032;0.118955644;30;0.6621339201612702
512000;Linear;RLScore;Setting 4;78.67711931600934;0.118951956;21;0.642647556404605
512000;Poly2D;RLScore;Setting 1;322.7281117880193;0.143535084;58;0.7554647010804871
512000;Poly2D;RLScore;Setting 2;234.16892218901194;0.143536012;42;0.7275453243145285
512000;Poly2D;RLScore;Setting 3;223.975709129998;0.143544788;40;0.7272924979348752
512000;Poly2D;RLScore;Setting 4;92.13488695700653;0.143536012;16;0.7069708027433901
